,hh_id,name,link,salary
414,47182474,Commercial analyst/Market insights and analytics consultant/Senior consultant,https://chelyabinsk.hh.ru/vacancy/47182474?from=vacancy_search_list&query=data%20analyst,
415,41816310,Data Engineer,https://chelyabinsk.hh.ru/vacancy/41816310?from=vacancy_search_list&query=data%20analyst,
416,46639924,Marketing analyst,https://chelyabinsk.hh.ru/vacancy/46639924?from=vacancy_search_list&query=data%20analyst,
417,47105722,BI developer (Tableau),https://chelyabinsk.hh.ru/vacancy/47105722?from=vacancy_search_list&query=data%20analyst,
418,47090512,Data Engineer,https://chelyabinsk.hh.ru/vacancy/47090512?from=vacancy_search_list&query=data%20analyst,
419,46676919,Senior Analyst Developer,https://chelyabinsk.hh.ru/vacancy/46676919?from=vacancy_search_list&query=data%20analyst,
420,47135041,Главный аналитик DWH,https://chelyabinsk.hh.ru/vacancy/47135041?from=vacancy_search_list&query=data%20analyst,
421,43536761,Python Developer (SPB/Remote),https://chelyabinsk.hh.ru/vacancy/43536761?from=vacancy_search_list&query=data%20analyst,
422,46264447,Руководитель службы бизнес-анализа,https://chelyabinsk.hh.ru/vacancy/46264447?from=vacancy_search_list&query=data%20analyst,
423,44701000,Digital marketing manager,https://chelyabinsk.hh.ru/vacancy/44701000?from=vacancy_search_list&query=data%20analyst,
424,46484530,Product manager (IT Project & Smart city),https://chelyabinsk.hh.ru/vacancy/46484530?from=vacancy_search_list&query=data%20analyst,
425,46711675,Руководитель группы продуктовой аналитики,https://chelyabinsk.hh.ru/vacancy/46711675?from=vacancy_search_list&query=data%20analyst,
426,47130622,Security Systems Engineer,https://chelyabinsk.hh.ru/vacancy/47130622?from=vacancy_search_list&query=data%20analyst,
427,40551245,Разработчик (Python),https://chelyabinsk.hh.ru/vacancy/40551245?from=vacancy_search_list&query=data%20analyst,100 000 – 160 000 руб.
428,40504846,Ведущий аналитик MDM,https://chelyabinsk.hh.ru/vacancy/40504846?from=vacancy_search_list&query=data%20analyst,
