,sj_id,name,link,salary
159,38618905,Аналитик CRM по работе с клиентской базой,https://www.superjob.ru/vakansii/analitik-crm-po-rabote-s-klientskoj-bazoj-38618905.html,По договорённости
160,38541873,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-38541873.html,По договорённости
161,38618183,Аналитик (работа с ценами),https://www.superjob.ru/vakansii/analitik-38618183.html,от 40 000 руб./месяц
162,38300035,Аналитик со знанием 1С ERP,https://www.superjob.ru/vakansii/analitik-so-znaniem-1s-erp-38300035.html,150 000 — 180 000 руб./месяц
163,38300473,Аналитик 1С (удаленная работа),https://www.superjob.ru/vakansii/analitik-1s-38300473.html,80 000 — 100 000 руб./месяц
164,38170408,Аналитик,https://www.superjob.ru/vakansii/analitik-38170408.html,По договорённости
165,38169827,Ведущий аналитик 1С,https://www.superjob.ru/vakansii/veduschij-analitik-1s-38169827.html,до 150 000 руб./месяц
166,38483618,Аналитик бюджетного учета 1С,https://www.superjob.ru/vakansii/analitik-byudzhetnogo-ucheta-1s-38483618.html,от 100 000 руб./месяц
167,37779716,Главный кредитный аналитик,https://www.superjob.ru/vakansii/glavnyj-kreditnyj-analitik-37779716.html,от 45 000 руб./месяц
168,38299386,Аналитик,https://www.superjob.ru/vakansii/analitik-38299386.html,от 85 000 руб./месяц
169,38298966,Маркетолог-аналитик,https://www.superjob.ru/vakansii/marketolog-analitik-38298966.html,до 60 000 руб./месяц
170,37624856,Аналитик,https://www.superjob.ru/vakansii/analitik-37624856.html,По договорённости
171,38481296,Аналитик BI,https://www.superjob.ru/vakansii/analitik-bi-38481296.html,до 230 000 руб./месяц
172,38615487,Аналитик,https://www.superjob.ru/vakansii/analitik-38615487.html,По договорённости
173,38480479,Специалист по сверкам (Аналитик excel),https://www.superjob.ru/vakansii/specialist-po-sverkam-38480479.html,40 000 — 45 000 руб./месяц
174,38164159,Аналитик 1С / Системный аналитик,https://www.superjob.ru/vakansii/analitik-1s-38164159.html,115 000 — 140 000 руб./месяц
175,38066882,Аналитик,https://www.superjob.ru/vakansii/analitik-38066882.html,от 55 000 руб./месяц
176,38166511,Аналитик,https://www.superjob.ru/vakansii/analitik-38166511.html,35 000 руб./месяц
177,38613309,Финансовый аналитик,https://www.superjob.ru/vakansii/finansovyj-analitik-38613309.html,55 000 — 65 000 руб./месяц
178,38475940,Аналитик-проектировщик,https://www.superjob.ru/vakansii/analitik-proektirovschik-38475940.html,от 90 000 руб./месяц
179,38400213,Аналитик отдела продаж P&G,https://www.superjob.ru/vakansii/analitik-otdela-prodazh-p-38400213.html,до 37 000 руб./месяц
180,38446652,Бизнес-аналитик,https://www.superjob.ru/vakansii/biznes-analitik-38446652.html,По договорённости
181,38297370,Аналитик по информационной безопасности,https://www.superjob.ru/vakansii/analitik-po-informacionnoj-bezopasnosti-38297370.html,По договорённости
182,35862766,Аналитик,https://www.superjob.ru/vakansii/analitik-35862766.html,По договорённости
183,38399222,Аналитик,https://www.superjob.ru/vakansii/analitik-38399222.html,По договорённости
184,38611037,Инженер-аналитик,https://www.superjob.ru/vakansii/inzhener-analitik-38611037.html,от 40 000 руб./месяц
185,37779792,Маркетолог-аналитик,https://www.superjob.ru/vakansii/marketolog-analitik-37779792.html,70 000 — 87 000 руб./месяц
186,38291987,Специалист-аналитик 1С:ЗУП,https://www.superjob.ru/vakansii/specialist-analitik-1s-38291987.html,По договорённости
187,38286614,Аналитик 1С,https://www.superjob.ru/vakansii/analitik-1s-38286614.html,По договорённости
188,37741126,Аналитик в отдел планирования,https://www.superjob.ru/vakansii/analitik-v-otdel-planirovaniya-37741126.html,По договорённости
189,38053112,Системный аналитик 1С,https://www.superjob.ru/vakansii/sistemnyj-analitik-1s-38053112.html,По договорённости
190,38607187,"Главный специалист отдела мониторинга, аналитики и сводной отчетности нацпроекта Здравоохранение",https://www.superjob.ru/vakansii/glavnyj-specialist-otdela-monitoringa-38607187.html,68 000 — 85 000 руб./месяц
191,36555431,Аналитик,https://www.superjob.ru/vakansii/analitik-36555431.html,По договорённости
192,35376829,Консультант-аналитик хранилища данных,https://www.superjob.ru/vakansii/konsultant-analitik-hranilischa-dannyh-35376829.html,По договорённости
193,38470923,Системный аналитик базы данных (СУБД PostgreSql.) и предметной области,https://www.superjob.ru/vakansii/sistemnyj-analitik-bazy-dannyh-38470923.html,По договорённости
194,38606438,Специалист по обработке данных (Аналитик данных),https://www.superjob.ru/vakansii/specialist-po-obrabotke-dannyh-38606438.html,от 100 000 руб./месяц
195,38602710,Бизнес-ассистент / Аналитик,https://www.superjob.ru/vakansii/biznes-assistent-38602710.html,от 80 000 руб./месяц
196,38393418,Аналитик (строительная организация),https://www.superjob.ru/vakansii/analitik-38393418.html,до 60 000 руб./месяц
197,36464089,Экономист-аналитик по производственному планированию,https://www.superjob.ru/vakansii/ekonomist-analitik-po-proizvodstvennomu-planirovaniyu-36464089.html,По договорённости
198,38469083,Финансовый аналитик по логистике,https://www.superjob.ru/vakansii/finansovyj-analitik-po-logistike-38469083.html,По договорённости
199,36252612,Эксперт-химик / Аналитик,https://www.superjob.ru/vakansii/ekspert-himik-36252612.html,По договорённости
200,38562339,Аналитик данных,https://www.superjob.ru/vakansii/analitik-dannyh-38562339.html,По договорённости
201,29777005,Консультант-аналитик 1С,https://www.superjob.ru/vakansii/konsultant-analitik-1s-29777005.html,По договорённости
202,37977284,Программист-аналитик в системе 1С ERP,https://www.superjob.ru/vakansii/programmist-analitik-v-sisteme-1s-erp-37977284.html,По договорённости
203,35948422,Младший системный аналитик,https://www.superjob.ru/vakansii/mladshij-sistemnyj-analitik-35948422.html,50 000 — 60 000 руб./месяц
204,38283016,"Специалист в финансовый отдел (бухгалтер, финансовый аналитик)",https://www.superjob.ru/vakansii/specialist-v-finansovyj-otdel-38283016.html,80 000 руб./месяц
